ID,Namn,Tema,Komponentnivå,Svårighetsgrad,Komponenter,Elektronikfärdigheter,Programmeringsfärdigheter,Makerfärdigheter,Byggtid,Vuxenhjälp,Bygger på,Kort beskrivning,Status
E039,Elektronisk tärning med LED,Spel,Baslåda,Uppfinnare,"E01, B01, B02, R01, L01, K01","EL05, EL04","PR06, PR07, PR10, PR13",MK08,35–45 min,Ja,"E028, E007",Tryck på knappen och visa ett slumpat tärningsvärde med LED-mönster.,Kandidat
E040,Tärning i Seriell monitor,Spel,Baslåda,Upptäckare,"E01, B01, B02, K01",EL05,"PR06, PR07, PR10, PR20",MK07,20–30 min,Ja,E028,En enklare tärning där värdet visas i Seriell monitor.,Kandidat
E041,Reaktionsspelet v1,Spel,Baslåda,Ingenjör,"E01, B01, B02, R01, L01, K01","EL05, EL04","PR06, PR07, PR10, PR16, PR20","MK07, MK14",40–55 min,Ja,"E021, E028",Vänta på lampan och tryck så snabbt som möjligt.,Kandidat
E042,Reaktionsspelet med ljud,Spel,Baslåda,Ingenjör,"E01, B01, B02, R01, L01, K01, A01","EL05, EL04, EL10","PR06, PR07, PR10, PR16, PR17","MK11, MK14",45–60 min,Ja,"E041, E033",Reaktionsspelet får startljud och felsignal.,Kandidat
E043,Snabbast av två,Spel,Baslåda,Ingenjör,"E01, B01, B02, R01, L01, K01, A01","EL05, EL04, EL10","PR06, PR07, PR16, PR17","MK11, MK14",45–60 min,Ja,E042,Två spelare tävlar om att trycka först efter signal.,Kandidat
E044,Simon Says v1,Spel,Baslåda,Ingenjör,"E01, B01, B02, R01, L01, K01, A01","EL05, EL04, EL10","PR06, PR07, PR10, PR13, PR17","MK11, MK14",50–70 min,Ja,"E036, E039","Minn ett växande mönster av lampor, toner och knapptryck.",Kandidat
E045,Gissa ljusmönstret,Spel,Baslåda,Uppfinnare,"E01, B01, B02, R01, L01, K01","EL05, EL04","PR06, PR07, PR10, PR13","MK08, MK15",35–45 min,Ja,"E008, E039",Programmet visar ett mönster och barnet gissar vilket som kommer härnäst.,Kandidat
E046,Nedräknaren,Tid och spel,Baslåda,Uppfinnare,"E01, B01, B02, R01, L01, A01","EL04, EL10","PR04, PR11, PR12",MK08,25–35 min,Ja,E034,LED och ljud räknar ned som inför en raketstart.,Kandidat
E047,Bomben tickar,Tid och spel,Baslåda,Ingenjör,"E01, B01, B02, R01, L01, K01, A01","EL05, EL04, EL10","PR06, PR07, PR16, PR17",MK14,45–60 min,Ja,"E021, E046",Stoppa tickandet med rätt knapptryck innan tiden går ut.,Kandidat
E048,Poänglampan,Spel,Baslåda,Uppfinnare,"E01, B01, B02, R01, L01, K01","EL05, EL04","PR06, PR07, PR09, PR12",MK08,30–40 min,Ja,E028,Varje knapptryck ökar poängen och tänder fler LED.,Kandidat
E049,Spelkontroll för framtida projekt,Knappar,Baslåda,Ingenjör,"E01, B01, B02, K01",EL05,"PR06, PR07, PR11","MK11, MK14",35–45 min,Ja,E031,Bygg ett återanvändbart knappupplägg för kommande spel.,Kandidat
E050,Designa ditt eget knapp- och ljudspel,Eget projekt,Baslåda,Mästare,"E01, B01, B02, R01, L01, L02, K01, A01","EL05, EL10, EL09","PR06, PR07, PR10, PR11, PR13, PR17","MK11, MK12, MK15",60–90 min,Ja,E026–E049,"Barnet designar ett eget spel med knappar, lampor och ljud.",Kandidat
